date/time,settlement id,type,order id,sku,description,quantity,marketplace,fulfillment,order city,order state,order postal,product sales,shipping credits,gift wrap credits,promotional rebates,sales tax collected,selling fees,fba fees,other transaction fees,other,total
"Dec 2, 2015 10:47:21 AM PST",6015624911,Order,112-2168634-0705861,JB-BU94-9WYF,Apple Watch Sport 42mm Space Gray Aluminum Case with Black Sport Band,1,amazon.com,Amazon,FORT RILEY,KS,66442-5036,410,0,0,0,0,-39.8,0,-0.99,0,369.21
"Dec 2, 2015 2:30:58 PM PST",6015624911,FBA Inventory Fee,,,FBA Amazon-Partnered Carrier Shipment Fee,,,,,,,0,0,0,0,0,0,0,0,-5.66,-5.66
"Dec 3, 2015 6:43:51 PM PST",6015624911,Order,109-9728504-8089060,8D-IJRV-T9TU,"HP 23-r110 23-Inch All-in-One Desktop (Intel Pentium, 4 GB RAM, 1 TB HDD)",1,amazon.com,Amazon,altadena,ca,91001,579.99,0,0,0,0,-34.8,-13.44,-0.99,0,530.76
"Dec 4, 2015 9:16:41 PM PST",6015624911,Order,114-6905236-9594628,8D-IJRV-T9TU,"HP 23-r110 23-Inch All-in-One Desktop (Intel Pentium, 4 GB RAM, 1 TB HDD)",1,amazon.com,Amazon,HENDERSON,NV,89052,579.99,0,0,0,0,-34.8,-13.44,0,0,531.75
"Dec 5, 2015 7:59:59 AM PST",6015624911,Order,109-1615336-8081812,M9-BEOG-M79A,"Microsoft Surface Pro 3 Tablet (12-Inch, 128 GB, Intel Core i5, Windows 10)",1,amazon.com,Amazon,CAMANO ISLAND,WA,98282-8383,949.99,5.99,0,0,0,-57,-5.99,-0.99,0,892
"Dec 6, 2015 9:41:07 AM PST",6015624911,Order,114-5701411-2776261,M9-BEOG-M79A,"Microsoft Surface Pro 3 Tablet (12-Inch, 128 GB, Intel Core i5, Windows 10)",1,amazon.com,Amazon,Hockessin,DE,19707,949.99,0,0,0,0,-57,0,-0.99,0,892
"Dec 6, 2015 6:58:16 PM PST",6015624911,Order,106-7087049-5333851,8D-IJRV-T9TU,"HP 23-r110 23-Inch All-in-One Desktop (Intel Pentium, 4 GB RAM, 1 TB HDD)",1,amazon.com,Amazon,BAYSIDE,NY,11360-1704,579.99,15.37,0,0,0,-34.8,-28.81,0,0,531.75
"Dec 6, 2015 8:17:58 PM PST",6015624911,FBA Inventory Fee,,,FBA Inventory Storage Fee,,,,,,,0,0,0,0,0,0,0,0,-0.09,-0.09
"Dec 7, 2015 12:31:24 AM PST",6015624911,Order,108-6824885-8627412,JB-3SMM-9X5R,Apple iTunes $50 Gift Card (Packaging May Vary),1,amazon.com,Amazon,PORTLAND,CT,06480-1405,53.89,0,0,0,0,-4.31,-2.54,0,0,47.04
"Dec 7, 2015 7:16:49 AM PST",6015624911,Order,105-1939592-3953002,8D-IJRV-T9TU,"HP 23-r110 23-Inch All-in-One Desktop (Intel Pentium, 4 GB RAM, 1 TB HDD)",1,amazon.com,Amazon,Checotah,ok,74426,579.99,17.48,0,-17.48,0,-34.8,-13.44,0,0,531.75
"Dec 8, 2015 7:23:05 AM PST",6019772441,Order,113-9161592-0852220,M9-BEOG-M79A,"Microsoft Surface Pro 3 Tablet (12-Inch, 128 GB, Intel Core i5, Windows 10)",1,amazon.com,Amazon,GOODLETTSVILLE,TN,37072-7016,949.99,0,0,0,0,-57,0,0,0,892.99
"Dec 8, 2015 12:09:57 PM PST",6019772441,FBA Inventory Fee,,,FBA Amazon-Partnered Carrier Shipment Fee,,,,,,,0,0,0,0,0,0,0,0,-6.6,-6.6
"Dec 8, 2015 1:35:34 PM PST",6019772441,Order,107-5245050-0741046,JB-3SMM-9X5R,Apple iTunes $50 Gift Card (Packaging May Vary),1,amazon.com,Amazon,PLYMOUTH,MA,02360-7503,53.89,0,0,0,0,-4.31,-2.54,0,0,47.04
"Dec 9, 2015 3:44:47 AM PST",6019772441,Order,106-2081903-1352262,JB-3SMM-9X5R,Apple iTunes $50 Gift Card (Packaging May Vary),1,amazon.com,Amazon,EL PASO,TX,79912-1521,53.89,2.03,0,-2.03,0,-4.31,-2.54,0,0,47.04
"Dec 9, 2015 4:01:59 AM PST",6019772441,Transfer,,,"To your account ending in: 2484, Federal ACH Trace ID: 091000014470072",,,,,,,0,0,0,0,0,0,0,0,-5133.32,-5133.32
"Dec 9, 2015 2:50:19 PM PST",6019772441,FBA Inventory Fee,,,FBA Amazon-Partnered Carrier Shipment Fee,,,,,,,0,0,0,0,0,0,0,0,-4.69,-4.69
"Dec 9, 2015 3:01:42 PM PST",6019772441,FBA Inventory Fee,,,FBA Amazon-Partnered Carrier Shipment Fee,,,,,,,0,0,0,0,0,0,0,0,-6.32,-6.32
"Dec 11, 2015 2:55:17 PM PST",6019772441,FBA Inventory Fee,,,FBA Amazon-Partnered Carrier Shipment Fee,,,,,,,0,0,0,0,0,0,0,0,-3.68,-3.68
"Dec 11, 2015 7:29:49 PM PST",6019772441,Refund,112-2168634-0705861,JB-BU94-9WYF,Apple Watch Sport 42mm Space Gray Aluminum Case with Black Sport Band,1,amazon.com,Amazon,FORT RILEY,KS,66442-5036,-410,0,0,0,0,34.8,0,0.99,0,-374.21
"Dec 11, 2015 7:50:04 PM PST",6019772441,Refund,108-4882755-3235451,BQ-SI0R-BZO7,"DELL Inspiron i3452-5600BLK 14.0"" Laptop with Windows 10 System",2,amazon.com,Amazon,PALMDALE,CA,93552-3424,-468,0,0,0,0,23.08,0,1.98,0,-442.94
"Dec 12, 2015 8:54:02 AM PST",6019772441,FBA Inventory Fee,,,FBA Amazon-Partnered Carrier Shipment Fee,,,,,,,0,0,0,0,0,0,0,0,-5.07,-5.07
"Dec 12, 2015 3:52:26 PM PST",6019772441,Order,106-6630422-6719400,M9-BEOG-M79A,"Microsoft Surface Pro 3 Tablet (12-Inch, 128 GB, Intel Core i5, Windows 10)",1,amazon.com,Amazon,SCOTTSDALE,AZ,85255-3361,949.99,0,0,0,0,-57,0,0,0,892.99
"Dec 13, 2015 7:46:32 AM PST",6019772441,Order,107-2313396-4134634,Q3-53YE-UZ4W,Apple Watch 38mm Aluminum Case Sport with White Sport Band,1,amazon.com,Amazon,Scottsboro,AL,35768,336.89,0,0,0,0,-33.95,0,0,0,302.94
"Dec 13, 2015 5:27:32 PM PST",6019772441,FBA Inventory Fee,,,FBA Amazon-Partnered Carrier Shipment Fee,,,,,,,0,0,0,0,0,0,0,0,-4.32,-4.32
"Dec 13, 2015 5:31:49 PM PST",6019772441,FBA Inventory Fee,,,FBA Amazon-Partnered Carrier Shipment Fee,,,,,,,0,0,0,0,0,0,0,0,-9.3,-9.3
"Dec 13, 2015 5:32:50 PM PST",6019772441,FBA Inventory Fee,,,FBA Amazon-Partnered Carrier Shipment Fee,,,,,,,0,0,0,0,0,0,0,0,-14.58,-14.58
"Dec 13, 2015 5:36:57 PM PST",6019772441,FBA Inventory Fee,,,FBA Amazon-Partnered Carrier Shipment Fee,,,,,,,0,0,0,0,0,0,0,0,-5.73,-5.73
"Dec 13, 2015 5:42:49 PM PST",6019772441,FBA Inventory Fee,,,FBA Amazon-Partnered Carrier Shipment Fee,,,,,,,0,0,0,0,0,0,0,0,-3.35,-3.35
"Dec 13, 2015 11:54:46 PM PST",6019772441,Order,107-0157024-5460223,Q3-53YE-UZ4W,Apple Watch 38mm Aluminum Case Sport with White Sport Band,1,amazon.com,Amazon,FAIRBURN,GA,30213-1865,336.89,0,0,0,0,-33.95,0,0,0,302.94
"Dec 15, 2015 3:12:38 PM PST",6019772441,FBA Inventory Fee,,,FBA Amazon-Partnered Carrier Shipment Fee,,,,,,,0,0,0,0,0,0,0,0,-5.07,-5.07
