adjusted-date	transaction-item-id	fnsku	sku	product-name	fulfillment-center-id	quantity	reason	disposition
2016-12-01T08:00:00+00:00	104927133112	X0013ANGIZ	GH-50	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	PHX6	-1	M	SELLABLE
2016-12-01T08:00:00+00:00	8703823781	X000YC2AS5	IceKing-SC-70	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	SAT2	-1	M	SELLABLE
2016-12-01T08:00:00+00:00	8703764781	X000YC2AS5	IceKing-SC-70	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	SAT2	1	F	SELLABLE
2016-11-30T08:00:00+00:00	43762966052	X000YC2AS5	IceKing-SC-70	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	PHX3	1	F	SELLABLE
2016-11-30T08:00:00+00:00	8633608601	X0018AW3Q1	Lenovo&reg; H50-55 AMD A10 416471	2016 Newest Lenovo H50 Desktop- AMD Quad-Core A10-7800 Processor 3.5GHz, 12GB DDR3 Memory, 2TB 7200rpm HDD, DVD±RW, 7-in-1 card reader, 802.11ac, HDMI+VGA Dual Monitor Support, Windows 10	SAT1	-1	O	UNSELLABLE
2016-11-28T08:00:00+00:00	43732135052	X000YC2AS5	IceKing-SC-70	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	PHX3	-1	M	SELLABLE
2016-11-28T08:00:00+00:00	7052267776	X001514EBP	GH-50B-2	New Version FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	FTW3	1	P	UNSELLABLE
2016-11-28T08:00:00+00:00	104778539112	X000YC2AS5	IceKing-SC-70	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	PHX6	1	F	SELLABLE
2016-11-28T08:00:00+00:00	124830149062	X000YC2AS5	IceKing-SC-70	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	IND1	1	F	SELLABLE
2016-11-28T08:00:00+00:00	124830148062	X000YC2AS5	IceKing-SC-70	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	IND1	1	F	SELLABLE
