approval-date	reimbursement-id	case-id	amazon-order-id	reason	sku	fnsku	asin	product-name	condition	currency-unit	amount-per-unit	amount-total	quantity-reimbursed-cash	quantity-reimbursed-inventory	quantity-reimbursed-total	original-reimbursement-id	original-reimbursement-type
2016-11-30T00:00:00+00:00	907419441			Lost_Warehouse	GH-100B-2	X00150D7BJ	B01HLJ7K78	New Version FULL SET 100ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Flexible, Expanding Garden and Utility Water Hose, Sprayer, Hanger, Splitter Adapter, Tape	NewItem	USD	32.95	32.95	1	0	1		
2016-11-30T00:00:00+00:00	931728131	1949199511		Damaged_Inbound	Lenovo&reg; H50-55 AMD A10 416471	X0018AW3Q1	B01BHD0BPM	2016 Newest Lenovo H50 Desktop- AMD Quad-Core A10-7800 Processor 3.5GHz, 12GB DDR3 Memory, 2TB 7200rpm HDD, DVD±RW, 7-in-1 card reader, 802.11ac, HDMI+VGA Dual Monitor Support, Windows 10	NewItem	USD	520.52	520.52	1	0	1		
2016-11-23T00:00:00+00:00	893021161			FeeCorrection	IceKing-SC-70	X000YC2AS5	B01BE5Q4FY	Ice King Magnetic Windshield Cover - Huge Size Fits Any Car, Truck, SUV, Van or Automobile - Keeps Ice & Snow Off - Top Quality Exterior Auto Snow Windshield Cover With Magnetic Edges	NewItem	USD	1.00	1.00	5		5		
2016-11-22T00:00:00+00:00	923924341		102-4645631-9207446	CustomerReturn	IceKing-SC-70	X000YC2AS5	B01BE5Q4FY	Ice King Magnetic Windshield Cover - Huge Size Fits Any Car, Truck, SUV, Van or Automobile - Keeps Ice & Snow Off - Top Quality Exterior Auto Snow Windshield Cover With Magnetic Edges	NewItem	USD	19.08	19.08	1	0	1		
2016-11-21T00:00:00+00:00	859256901			Damaged_Warehouse	IceKing-SC-70	X000YC2AS5	B01BE5Q4FY	Ice King Magnetic Windshield Cover - Huge Size Fits Any Car, Truck, SUV, Van or Automobile - Keeps Ice & Snow Off - Top Quality Exterior Auto Snow Windshield Cover With Magnetic Edges	NewItem	USD	20.61	20.61	1	0	1		
2016-11-18T00:00:00+00:00	819029741	1952048701	113-6764056-0600219	CustomerServiceIssue						USD	82.13	82.13					
2016-11-17T00:00:00+00:00	910345461	1950576281		Damaged_Warehouse	GH-50	X0013ANGIZ	B01CXHXJKK	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	NewItem	USD	24.06	24.06	1	0	1		
2016-11-17T00:00:00+00:00	884639581	1950576281		Damaged_Warehouse	GH-50	X0013ANGIZ	B01CXHXJKK	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	NewItem	USD	24.06	120.30	5	0	5		
2016-11-17T00:00:00+00:00	834807751	1945340551	107-7982005-1929842	CustomerServiceIssue						USD	104.99	104.99					
2016-11-14T00:00:00+00:00	902185151	1945339371	103-0428932-2061804	CustomerServiceIssue						USD	25.00	25.00					
2016-11-14T00:00:00+00:00	910043661	1945339371	103-0428932-2061804	CustomerServiceIssue						USD	34.49	34.49					
2016-11-11T00:00:00+00:00	884176821	1942718721		Damaged_Warehouse	IceKing-SC-70	X000YC2AS5	B01BE5Q4FY	Ice King Magnetic Windshield Cover - Huge Size Fits Any Car, Truck, SUV, Van or Automobile - Keeps Ice & Snow Off - Top Quality Exterior Auto Snow Windshield Cover With Magnetic Edges	NewItem	USD	19.08	76.32	4	0	4		
2016-11-10T00:00:00+00:00	917993111	1941888901	102-0427780-6382652	CustomerServiceIssue						USD	37.97	37.97					
2016-11-10T00:00:00+00:00	877471661	1940760241	108-6620188-8297013	CustomerServiceIssue	GH-50	X0013ANGIZ	B01CXHXJKK	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	NewItem	USD	45.06	45.06	1		1		
2016-11-10T00:00:00+00:00	845930411	1940760241	108-5368656-8310658	CustomerServiceIssue	GH-50	X0013ANGIZ	B01CXHXJKK	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	NewItem	USD	37.97	37.97	1		1		
2016-11-10T00:00:00+00:00	896585431	1940760241	113-7872531-0389843	CustomerServiceIssue	GH-50	X0013ANGIZ	B01CXHXJKK	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	NewItem	USD	75.94	75.94	1		1		
2016-11-10T00:00:00+00:00	897426461	1940760241	107-3382545-7997819	CustomerServiceIssue	GH-50	X0013ANGIZ	B01CXHXJKK	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	NewItem	USD	37.97	37.97	1		1		
2016-11-10T00:00:00+00:00	883131271			Reimbursement_Reversal	C40 A6 8GB 1TB	X0014AWUCH	B011HNTGVC	Lenovo C40 21.5-Inch All-in-One Touchscreen Desktop (AMD A6, 8 GB RAM, 1 TB HDD, Windows 10) F0B50052US [Discontinued by Manufacturer]	NewItem	USD	-489.38	-489.38	-1	1	0	753482411	Damaged_Warehouse
2016-11-09T00:00:00+00:00	917445911	1940760241	110-8268161-5574634	CustomerServiceIssue	GH-50	X0013ANGIZ	B01CXHXJKK	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	NewItem	USD	33.97	33.97	1		1		
2016-11-09T00:00:00+00:00	883583841	1940732691	106-3222346-8955421	CustomerServiceIssue						USD	37.97	37.97					
2016-11-09T00:00:00+00:00	869600441	1940732691	115-8037352-9513820	CustomerServiceIssue						USD	33.97	33.97					
2016-11-08T00:00:00+00:00	745959491			Lost_Warehouse	Acer 17inch Win 7	X0016B9OW3	B00I3DOZEI	Acer Aspire 17 Inch Laptop (2.4 Ghz Intel Pentium 2020M Processor, 4GB RAM, 500GB Hard Drive, Windows 7 Home Premium)	NewItem	USD	349.02	349.02	1	0	1		
2016-11-03T00:00:00+00:00	758491471	1931516091		Lost_Inbound	L55W-C5280-T ULN	X0018BLE79	B01CCCXWRQ	2016 Newest Toshiba Satellite Fusion 15 L55W 15.6" Flagship Touchscreen Laptop- Intel Core i5-5200U Processor, 8GB RAM, 750GB Hard Drive, HD LED Backlit Display, Webcam, HDMI, Bluetooth, Windows 10	UsedLikeNew	USD	595.16	0.00	0	1	1		
2016-11-02T00:00:00+00:00	753482411			Damaged_Warehouse	C40 A6 8GB 1TB	X0014AWUCH	B011HNTGVC	Lenovo C40 21.5-Inch All-in-One Touchscreen Desktop (AMD A6, 8 GB RAM, 1 TB HDD, Windows 10) F0B50052US [Discontinued by Manufacturer]	NewItem	USD	489.38	489.38	1	0	1		
2016-10-23T00:00:00+00:00	744360771		112-5267510-9035468	CustomerReturn	GH-50	X0013ANGIZ	B01CXHXJKK	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	NewItem	USD	24.47	24.47	1	0	1		
2016-10-23T00:00:00+00:00	742681701			Damaged_Warehouse	GH-75B-2	X00150D7B9	B01HLJ7K82	New Version FULL SET 75ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Flexible, Expanding Garden and Utility Water Hose, 75 foot, Sprayer, Hanger, Splitter Adapter, Tape	NewItem	USD	28.33	28.33	1	0	1		
2016-10-13T00:00:00+00:00	728579501			Lost_Warehouse	Acer C810-T7ZT	X0016AKBK3	B00X5X4230	Acer C810 NX.G14AA.001; C810-T7ZT 13.3-Inch Laptop	NewItem	USD	210.62	210.62	1	0	1		
2016-10-09T00:00:00+00:00	728046481	1902973081	106-2063984-7896220	CustomerServiceIssue						USD	18.15	18.15					
2016-10-09T00:00:00+00:00	727947971	1902973081		Damaged_Warehouse	AX-I4ZJ-Z6BY	X000XSE3VH	B012AQI7EW	Dell SE2216H 22" Screen LED-Lit Monitor	NewItem	USD	95.99	95.99	1	0	1		
2016-10-09T00:00:00+00:00	727469101	1902981941	109-9978757-1333803	CustomerServiceIssue						USD	37.97	37.97					
2016-10-09T00:00:00+00:00	727468561	1902981941	109-3938011-2626622	CustomerServiceIssue						USD	41.97	41.97					
2016-10-09T00:00:00+00:00	727419561	1902924001	102-5956966-3007444	CustomerServiceIssue	L55W-C5280-T	X0013NSCCR	B01CCCXWRQ	2016 Newest Toshiba Satellite Fusion 15 L55W 15.6" Flagship Touchscreen Laptop- Intel Core i5-5200U Processor, 8GB RAM, 750GB Hard Drive, HD LED Backlit Display, Webcam, HDMI, Bluetooth, Windows 10	NewItem	USD	86.40	86.40	1		1		
2016-10-09T00:00:00+00:00	727335591			Damaged_Warehouse	GH-75B-2	X00150D7B9	B01HLJ7K82	New Version FULL SET 75ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Flexible, Expanding Garden and Utility Water Hose, 75 foot, Sprayer, Hanger, Splitter Adapter, Tape	NewItem	USD	28.33	0.00	0	1	1		
2016-10-07T00:00:00+00:00	725701411		116-8802911-0301001	CustomerReturn	I3552-4041BLK	X00153TOLN	B019TTJ8BE	Dell Inspiron i3552-4041BLK 15.6 Inch Laptop (Intel Celeron, 4 GB RAM, 500 GB HDD, Black)	NewItem	USD	245.11	245.11	1	0	1		
2016-10-06T00:00:00+00:00	724013181		102-1291163-0259427	CustomerReturn	Acer 17inch Win 7	X0016B9OW3	B00I3DOZEI	Acer Aspire 17 Inch Laptop (2.4 Ghz Intel Pentium 2020M Processor, 4GB RAM, 500GB Hard Drive, Windows 7 Home Premium)	NewItem	USD	353.57	0.00	0	1	1		
2016-09-25T00:00:00+00:00	712240721		114-1044726-0759440	CustomerReturn	GH-50	X0013ANGIZ	B01CXHXJKK	*FULL SET* 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	NewItem	USD	24.47	0.00	0	1	1		
2016-09-23T00:00:00+00:00	709876331	1884796111	112-1123618-1079449	CustomerServiceIssue						USD	58.60	58.60					
2016-09-22T00:00:00+00:00	708717911		106-7711154-5732232	CustomerReturn	GH-50	X0013ANGIZ	B01CXHXJKK	*FULL SET* 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	NewItem	USD	31.27	31.27	1	0	1		
2016-09-20T00:00:00+00:00	706557341	1881040021		Damaged_Warehouse	GH-50	X0013ANGIZ	B01CXHXJKK	*FULL SET* 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	NewItem	USD	24.47	24.47	1	0	1		
