return-date	order-id	sku	asin	fnsku	product-name	quantity	fulfillment-center-id	detailed-disposition	reason	status
2017-02-09	002-9150749-9720246	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Magnetic Windshield Cover - Huge Size Fits Any Car, Truck, SUV, Van or Automobile - Keeps Ice & Snow Off - Top Quality Exterior Auto Snow Win	1	LEX2	SELLABLE	UNWANTED_ITEM	Unit returned to inventory
2017-02-07	106-7375442-7725009	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	1	LEX2	SELLABLE	QUALITY_UNACCEPTABLE	Unit returned to inventory
2017-02-06	107-9909356-8249807	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	1	LEX2	CUSTOMER_DAMAGED	DEFECTIVE	Unit returned to inventory
2017-02-04	105-9488879-6134620	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	1	LAS2	CUSTOMER_DAMAGED	NOT_COMPATIBLE	Unit returned to inventory
2017-02-03	108-9810435-7716226	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	1	LEX2	DEFECTIVE	QUALITY_UNACCEPTABLE	Unit returned to inventory
2017-02-03	106-2362785-3909047	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	1	LEX2	DEFECTIVE	DEFECTIVE	Unit returned to inventory
2017-02-03	105-0694662-7179405	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	1	LEX1	CUSTOMER_DAMAGED	UNWANTED_ITEM	Unit returned to inventory
2017-02-02	104-6805738-9987419	Dell i3168-3271BLU	B01F3R8XC6	X0016QULPR	Dell i3168-3271BLU 11.6" HD 2-in-1 Laptop (Intel Pentium N3710 1.6GHz Processor, 4 GB DDR3L SDRAM, 500 GB HDD, Windows 10) Bali Blue	1	LEX2	CUSTOMER_DAMAGED	DEFECTIVE	Unit returned to inventory
2017-01-31	113-3439558-7373844	GH-100B-2	B01HLJ7K78	X00150D7BJ	New Version FULL SET 100ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Flexible, Expanding Garden and Utility Water Hose, Spr	1	LEX2	DEFECTIVE	DEFECTIVE	Unit returned to inventory
2017-01-31	108-6202415-4127409	GH-100B-2	B01HLJ7K78	X00150D7BJ	New Version FULL SET 100ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Flexible, Expanding Garden and Utility Water Hose, Spr	1	LEX2	DEFECTIVE	DEFECTIVE	Unit returned to inventory
