return-date	order-id	sku	asin	fnsku
2017-02-09	002-9150749-9720246	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-02-07	106-7375442-7725009	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-02-06	107-9909356-8249807	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-02-04	105-9488879-6134620	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-02-03	108-9810435-7716226	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-02-03	106-2362785-3909047	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-02-03	105-0694662-7179405	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-02-02	104-6805738-9987419	Dell i3168-3271BLU	B01F3R8XC6	X0016QULPR
2017-01-31	113-3439558-7373844	GH-100B-2	B01HLJ7K78	X00150D7BJ
2017-01-31	108-6202415-4127409	GH-100B-2	B01HLJ7K78	X00150D7BJ
2017-01-30	105-2099257-7959443	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-30	104-5673396-0073020	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-28	115-3649765-7329865	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-28	107-8752883-8383408	GH-75B-2	B01HLJ7K82	X00150D7B9
2017-01-28	115-9982331-2936208	Asus Chromebook Flip C100PA-DB02 158363	B00ZS4HK0Q	X00185REPL
2017-01-28	116-1788037-6136213	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-28	114-7928082-8753845	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-26	115-0611436-3530619	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-26	112-8876175-2126657	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-24	114-8288028-3789835	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-24	113-7480239-9514629	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-24	105-4474522-0059443	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-24	106-5196334-3496211	I3552-4041BLK T	B01MECG3SG	X0019C6215
2017-01-22	002-7958980-2123448	GH-50	B01CXHXJKK	X0013ANGIZ
2017-01-20	103-2578728-1083459	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-20	113-9582089-3680231	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-20	113-9582089-3680231	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-20	113-9582089-3680231	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-20	113-9582089-3680231	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-19	105-4370924-2900261	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-19	105-0419772-3181018	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-19	116-9337803-6231429	GH-25B-2	B01HLJ7K6Y	X00150DKKR
2017-01-19	002-2759899-6385804	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-18	110-4488595-8147410	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-18	111-8243418-8811419	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-18	113-6238994-2957856	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-17	116-6901485-2476253	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-17	112-0626173-4736243	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-17	113-5038962-9725858	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-16	106-0596974-4401031	Lenovo TAB3 A8 8-Inch 496727	B01GE9R0GC	X0017D5WSF
2017-01-16	002-5522900-9245031	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-16	106-2210644-4290607	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-16	111-5610847-3579469	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-16	002-8855717-2181052	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-15	111-8734303-9931423	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-15	105-4254994-5023429	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-14	104-9057915-1392261	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-14	104-9057915-1392261	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-13	002-6648063-5852215	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-13	104-5051917-9760218	Samsung CF390 830203	B01CX26WPY	X0017YYOOH
2017-01-13	114-0049434-0858663	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-13	111-1867299-7886606	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-12	110-6742384-0950609	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-12	110-6742384-0950609	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-12	110-6742384-0950609	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-12	110-6742384-0950609	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-12	103-9702305-4678600	GH-100B-2	B01HLJ7K78	X00150D7BJ
2017-01-12	105-0494611-7450609	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-12	106-5330212-4671435	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-12	108-0460244-9739401	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-11	002-3079228-6776241	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-11	106-7800445-8465831	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-10	106-6161800-4907411	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-10	111-9621926-1753011	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-09	002-1522254-7733066	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-09	107-3105517-6583448	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
